rectal_temp,pulse,respiratory_rate,temp_of_extremities,pain,packed_cell_volume,total_protein,age_young,peripheral_pulse_increased,peripheral_pulse_normal,peripheral_pulse_reduced,mucous_membrane_bright_red,mucous_membrane_dark_cyanotic,mucous_membrane_normal_pink,mucous_membrane_pale_cyanotic,mucous_membrane_pale_pink,capillary_refill_time_less_3_sec,capillary_refill_time_more_3_sec,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,abdominal_distention_none,abdominal_distention_severe,abdominal_distention_slight,nasogastric_tube_significant,nasogastric_tube_slight,nasogastric_reflux_more_1_liter,nasogastric_reflux_none,rectal_exam_feces_decreased,rectal_exam_feces_increased,rectal_exam_feces_normal,abdomen_distend_small,abdomen_firm,abdomen_normal,abdomen_other,abdomo_appearance_cloudy,abdomo_appearance_serosanguious,surgical_lesion_yes
38.5,66.0,28.0,1.0,4.0,45.0,8.4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
39.2,88.0,20.0,1.0,2.0,50.0,85.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False
38.3,40.0,24.0,2.0,2.0,33.0,6.7,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
39.1,164.0,84.0,0.0,1.0,48.0,7.2,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
37.3,104.0,35.0,1.0,2.0,74.0,7.4,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
38.16861924686192,72.0,30.46058091286307,3.0,1.0,46.30740740740741,24.274436090225564,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
37.9,48.0,16.0,2.0,2.0,37.0,7.0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
38.16861924686192,60.0,30.46058091286307,1.0,2.0,44.0,8.3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True
38.16861924686192,80.0,36.0,1.0,3.0,38.0,6.2,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True
38.3,90.0,30.46058091286307,2.0,4.0,40.0,6.2,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
